id,name,isActive,resources,connectors
UmVtb3RlTmV0d29yazoyOTgzNTM=,CD Staging USW2 VPC,True,['UmVzb3VyY2U6MzQyNzgwMA=='],['Q29ubmVjdG9yOjc3NjY1Mg==']
UmVtb3RlTmV0d29yazozMDA3MDQ=,Dev Portal APNE2 VPC,True,['UmVzb3VyY2U6MzQ0ODg3NQ=='],"['Q29ubmVjdG9yOjc4MjgyMg==', 'Q29ubmVjdG9yOjc4MjgyNQ==']"
UmVtb3RlTmV0d29yazozMDA5MzI=,BBOGAERT.WINDOWS.DEV.REMOTE.NETWORK,True,"['UmVzb3VyY2U6MzQ0MTIwNw==', 'UmVzb3VyY2U6MzQ4NDAwOA==']",['Q29ubmVjdG9yOjc4MzM0Ng==']
UmVtb3RlTmV0d29yazozMDE1ODk=,JSCHEIRER.WINDOWS.DEV.REMOTE.NETWORK,True,"['UmVzb3VyY2U6MzQ0NDcyNg==', 'UmVzb3VyY2U6MzQ4NDAxMQ==']","['Q29ubmVjdG9yOjc4NTEyOQ==', 'Q29ubmVjdG9yOjc4NTEzMA==']"
UmVtb3RlTmV0d29yazozMDE1OTE=,ABHAY.WINDOWS.DEV.REMOTE.NETWORK,True,"['UmVzb3VyY2U6MzQ0NDcyMw==', 'UmVzb3VyY2U6MzQ4NDAwNw==']","['Q29ubmVjdG9yOjc4NTEzNQ==', 'Q29ubmVjdG9yOjc4NTEzNg==']"
UmVtb3RlTmV0d29yazozMDE2MDA=,Anyscale APNE2 VPC,True,['UmVzb3VyY2U6MzQ0NDgyMA=='],['Q29ubmVjdG9yOjc4NzkwNQ==']
UmVtb3RlTmV0d29yazozMDI1NTY=,JMORRIS.WINDOWS.DEV.REMOTE.NETWORK,True,"['UmVzb3VyY2U6MzQ2OTcxMg==', 'UmVzb3VyY2U6MzQ4NDAwNg==']","['Q29ubmVjdG9yOjc4Nzc5OQ==', 'Q29ubmVjdG9yOjc4NzgwMA==']"
UmVtb3RlTmV0d29yazozMDQ5OTc=,Anyscale APNE1 VPC,True,['UmVzb3VyY2U6MzQ5MTczMg=='],['Q29ubmVjdG9yOjc5NDUyMw==']
UmVtb3RlTmV0d29yazozMDUyMjE=,Dev Portal APNE1 VPC,True,['UmVzb3VyY2U6MzQ5NDEwMQ=='],"['Q29ubmVjdG9yOjc5NTI4Mg==', 'Q29ubmVjdG9yOjc5NTI4Mw==']"
UmVtb3RlTmV0d29yazozMDUyNTk=,Prod Portal APNE2 VPC,True,"['UmVzb3VyY2U6MzQ5NDU2Nw==', 'UmVzb3VyY2U6MzUwMDE4MA==']","['Q29ubmVjdG9yOjc5NTI3Mw==', 'Q29ubmVjdG9yOjc5NTI3OA==']"
